Quarter,Barangay,Mayor_Total_Given_PHP,Share_of_LGU_Budget_%,Mayor_IEC_PHP,Mayor_IEC_%,Mayor_Enf_PHP,Mayor_Enf_%,Mayor_Inc_PHP,Mayor_Inc_%,Municipal_Inspectors_Deployed
10,Brgy Demologan,99405.41,26.5%,1436.78,1.4%,37098.64,37.3%,60869.98,61.2%,3
10,Brgy Mati,79221.07,21.1%,3184.67,4.0%,71954.23,90.8%,4082.17,5.2%,5
10,Brgy Babalaya,84865.94,22.6%,27537.27,32.4%,39059.92,46.0%,18268.74,21.5%,3
11,Brgy Liangan East,32283.27,8.6%,2231.64,6.9%,2790.13,8.6%,27261.49,84.4%,0
11,Brgy Ezperanza,17483.27,4.7%,2433.67,13.9%,1071.94,6.1%,13977.67,79.9%,0
11,Brgy Poblacion,22281.66,5.9%,10712.72,48.1%,1630.46,7.3%,9938.49,44.6%,0
11,Brgy Binuni,37775.22,10.1%,9657.21,25.6%,18285.96,48.4%,9832.05,26.0%,1
11,Brgy Demologan,100935.41,26.9%,1349.52,1.3%,37581.21,37.2%,62004.68,61.4%,3
11,Brgy Mati,80587.19,21.5%,3201.71,4.0%,73485.76,91.2%,3899.73,4.8%,6
11,Brgy Babalaya,83653.97,22.3%,27337.81,32.7%,37845.69,45.2%,18470.48,22.1%,3
12,Brgy Liangan East,31508.75,8.4%,2260.40,7.2%,2819.27,8.9%,26429.09,83.9%,0
12,Brgy Ezperanza,16913.85,4.5%,2471.15,14.6%,1073.10,6.3%,13369.60,79.0%,0
12,Brgy Poblacion,21811.34,5.8%,10743.83,49.3%,1703.26,7.8%,9364.25,42.9%,0
12,Brgy Binuni,37828.03,10.1%,10200.16,27.0%,18148.18,48.0%,9479.68,25.1%,1
12,Brgy Demologan,81817.19,21.8%,3211.25,3.9%,74889.80,91.5%,3716.13,4.5%,6
12,Brgy Mati,82248.66,21.9%,27311.56,33.2%,36517.92,44.4%,18419.19,22.4%,3
12,Brgy Babalaya,102872.16,27.4%,1256.84,1.2%,38010.82,36.9%,63604.51,61.8%,3
13,Brgy Liangan East,31165.17,8.3%,2188.26,7.0%,2745.09,8.8%,26231.82,84.2%,0
13,Brgy Ezperanza,16730.88,4.5%,2457.19,14.7%,1052.51,6.3%,13221.19,79.0%,0
13,Brgy Poblacion,21321.21,5.7%,10435.33,48.9%,1677.13,7.9%,9208.75,43.2%,0
13,Brgy Binuni,37992.16,10.1%,10507.32,27.7%,18096.09,47.6%,9388.75,24.7%,1
13,Brgy Demologan,104730.44,27.9%,1176.92,1.1%,38730.40,37.0%,64823.12,61.9%,3
13,Brgy Mati,82278.38,21.9%,3172.83,3.9%,75495.62,91.8%,3609.93,4.4%,6
13,Brgy Babalaya,80781.74,21.5%,27203.86,33.7%,35502.46,43.9%,18075.43,22.4%,2
